NO.;JUDUL BUKU;PENGARANG;PENERBIT;TEMPAT TERBIT;TAHUN;ISBN;JILID;EDISI;CET.;JUMLAH HAL.;RAK BUKU;JUMLAH BUKU;TINGGI BUKU             (cm);NOMOR PANGGIL;INISIAL;PEROLEHAN;HARGA;KET;;No. Induk
1990;Sistem Informasi Menejemen Nasional (SIMNAS);LEMHANNAS;PT. Aries Lima;Jakarta;1989;;;;;;5D;1;;;;;;ada;;
1991;SISTEM KETATANEGARAAN INDONESIA (DARI ORLA, ORBA SAMPAI REFORMASI) // TELAAH SOSIOLOGI YURIDIS PRAGMATIS KRISIS JATI DIRI HUKUM TATA NEGARA INDONESIA;H.F. ABRAHAM AMOS;PT. Rajagrafindo Persada;Jakarta;2005;979-3654-64-3;;1.,;1.-;xxxvi, 562;3G;;21;342;AMO;B;250.000;ada;;
1992;Sistem Menejemen Nasional (SISMENNAS);LEMHANNAS;PT. Aries Lima;Jakarta;1989;;;;;;5D;2;;;;;;ada;;
1993;SISTEM PEMERINTAHAN INDONESIA;Drs. C.S.T. KANSIL, S.H.;AKSARA BARU;Jakarta;1985;;;;5.-;xix, 457;3G;;20,5;342.4;KAN;;;ada;;
1994;SISTEM PEMIDANAAN DALAM CYBER CRIME (ALTERNATIF ANCAMAN PIDANA KERJA SOSIAL DAN PIDANA PENGAWASAN BAGI PELAKU CYBER CRIME);Prof. Dr. WIDODO, S.H., M.H.;LAKSBANG MEDIATAMA;Yogyakarta;2009;979-9943-65-5;;;1.-;244;1D;;21;345;WID;;;ada;;
1995;SISTEM PERADILAN PIDANA DALAM PERSPEKTIF PERBANDINGAN HUKUM;Prof. M.L. Hc. HULSMAN;CV. RAJAWALI;Jakarta;1984;;;;1.-;207;2A;;20,5;345;HUL;;;ADA;;
1996;SISTEM PERADILAN PIDANA INDONESIA // DILENGKAPI DENGAN 4 UNDANG-UNDANG DI BIDANG SISTEM PERADILAN PIDANA;Dr. RUSLI MUHAMMAD, S.H., M.H.;UII PRESS;Yogyakarta;2011;;;;;;2C;;;;;;;;;
1997;SISTEM PERADILAN PIDANA (KONSEP, KOMPONEN & PELAKSANAANNYA DALAM PENEGAKAN HUKUM DI INDONESIA);YESMIL ANWAR, S.H., M.Si & ADANG, S.H., M.H.;WIDYA PADJADJARAN;Bandung;2011;978-602-8323-33-8;;;2.-;378;2A;;25;345.01;ANW;S;;ada;;
1998;SISTEM SANKSI DALAM HUKUM PIDANA (IDE DASAR DOEBLE TRACK SYSTEM & IMPLEMENTASINYA);Dr. M. SHOLEHUDDIN, S.H., M.H.;PT. Rajagrafindo Persada;Jakarta;2004;979-421-972-X;;1.,;2.-;xvi, 286;2C;2;21;345;SHO;S;;ada;;
1999;SOSIALISASI & DISEMINASI PENEGAKAN HAK ASASI MANUSIA;DARWAN PRINST, S.H.;PT. Citra Aditya Bakti;Bandung;2001;;;;;;7C;;;;;;;ada;;
2000;Sosiologi Hukum;Prof. Dr. H. Zainuddin Ali, M.A.;Sinar Grafika;Jakarta;2008;979-8061-29-2;;;;;5B;;;340.1;ALI;S;;ada;;
2001;Sosiologi Hukum;Prof. Dr. H. Zainuddin Ali, M.A.;Sinar Grafika;Jakarta;2012;;;;;;5B;;;340.1;ALI;S;;ada;;
2002;Spesialisasi Jaksa Dan Urgensinya dalam Penanganan Perkara;"Hendi Suhendi, S.H. ; Abdul Gofar, S.H. ; dkk.";Kejaksaan Agung R.I.;Jakarta;2014;978-602-7744-65-3;;;;112;6A;;21;340;SUH;S;;ada;;
2003;STATISTIK, GRAFIK DAN ADMINISTRASI KRIMINIL;M. KARJADI;POLITEIA;Bogor;1977;;;;;;6A;;;;;;;ada;;
2004;STATUS BADAN HUKUM, PRINSIP-PRINSIP DAN TANGGUNG JAWAB SOSIAL PERSEROAN TERBATAS;Dr. HABIB ADJIE, S.H., M.Hum.;CV. MANDAR MAJU;Bandung;2008;978-979-538-334-5;;;1.-;x, 249;3E;;21;344;ADJ;S;;ada;;
2005;Status Retensi (Jangka Waktu Penyimpanan) Arsip Tetap / Abadi Pada Manajemen Kearsipan Kejaksaan RI Bidang Tindak Pidana Umum;"B.D. Sri Marsita G. ; Drs. H. Nandan Iskandar ; Rodip Sukarman ; Mangasi Situmeang ; Dr. Satriyo Wibowo, dkk.";Miswar;Jakarta;2017;978-602-6532-28-2;;;;;6B;;;344.9;MAR;s;;ada;;
2006;STRATEGI MEMBERANTAS KORUPSI (ELEMEN SISTEM INTEGRITAS NASIONAL);JEREMY POPE;YAYASAN OBOR INDONESIA;Jakarta;2007;979-461-442-4;;2.,;;xli, 678;2D;;24;351.9;POP;S;;ada;;
2007;STRATEGI MENYUSUN DAN MENANGANI GUGATAN PERDATA;DARWAN PRINST, S.H.;PT. Citra Aditya Bakti;Bandung;2002;979-414-624-2;;;3.-;xvi, 270;3C;;21;347.001;PRI;S;;ada;;
2008;STRATEGI PEMBANGUNAN PEDESAAN DI BARITO UTARA // PERSIAPAN MEMASUKI PROSES TINGGAL LANDAS;Drs. A. DJ. NIHIN;--;Muara Teweh;1990;;;;;;5E;;;;;;;;;
2009;STRATEGI PENCEGAHAN & PENEGAKAN HUKUM TINDAK PIDANA KORUPSI;CHAERUDIN, S.H., M.H., SYAIFUL AHMAD DINAR, S.H., M.H., SYARIF FADILLAH, S.H., M.H.;PT. REFIKA ADITAMA;Bandung;2009;979-1073-95-3;;;2.-;xiii, 140;2D;;24;345.001;CHA;S;;ADA;;
2010;Strategi pemerintahan dalam memberdayakyang berkelanjutan menuju Indonesia yang sejahtera;Dr.Rudi margono,SH.Mhum;Yayasan Putra adi Dharma;Yogyakarta;2024;978-634-7004-73-4;;;1,-;;5D;;;351;MAR;S;;ada;;
2011;STUDI TENTANG PENDAPAT-PENDAPAT MENGENAI EFEKTIVITAS PIDANA MATI DI INDONESIA DEWASA INI;"DJOKO PRAKOSO, S.H.; NURWACHID, S.H.-";GHALIA INDONESIA,;Jakarta;1984;;;;1.-;271;2E;;20,5;345;PRA;;;ADA;;
2012;SUATU PEMIKIRAN MENGENAI PENDIDIKAN DI INDONESIA;Prof. SOEGARDA POERBAKAWATJA;YAYASAN IDAYU;Jakarta;1981;;;;;;7A;;;;;;;;;
2013;SUATU REORIENTASI DALAM HUKUM PIDANA;Prof. Mr. ROESLAN SALEH;AKSARA BARU;Jakarta;1978;;;;;31;2C;;22;345;SAL;;;ADA;;
2014;SUATU TINJAUAN RINGKAS SISTEM PEMIDANAAN DI INDONESIA;Dr. A. HAMZAH, S.H. - SITI RAHAYU, S.H.;AKADEMIKA PRESSINDO;Jakarta;1983;;;1.,;1.-;131;2E;;20,5;345.598;HAM;S;;ADA;;
2015;SUKSES DENGAN BERPIKIR POSITIF;RAKESH K. MITTAL;PT. BHUANA ILMU POPULER;Jakarta;2005;;;;;;10B;;;;;;;;;
2016;SUKSES MERUMAHKAN WALET;"NAZARUDDIN ; ANTONIUS WIDODO";PENEBAR SWADAYA;Jakarta;2002;;;;;;10E;;;;;;;;;
2017;SUPER PERFORMANCE // ANDA TIDAK AKAN PERNAH UNGGUL JIKA BERFIKIR DAN BERTINDAK NORMAL;JOHN ELIOT, PH.D;PT. BHUANA ILMU POPULER;Jakarta;2004;;;;;;10B;;;;;;;;;
2018;SUPPLEMEN HIMPUNAN PERATURAN-PERATURAN DAN PERUNDANG-UNDANGAN R.I.;dihimpun oleh : HARIEF HARAHAP, S.H.;PT. ISABELLA BROTHERS;Jakarta;;;;;;;7D;;;;;;;;;
2019;SURAT BERHARGA//ALAT PEMBAYARAN DALAM MASYARAKAT MODERN;"IMAM PRAYOGO SURYOHADIBROTO, S.H. ; DJOKO PRAKOSO, S.H.";RINEKA CIPTA;Jakarta;1995;979-518-061-4;;;3.-;x, 394;3D;;20,5;395;SUR;;;ada;;
2020;SURAT DAKWAAN;Dr. A. HAMZAH, S.H., IRDAN DAHLAN;ALUMNI;Bandung;1987;979-414-067-8;;;1.-;viii, 162;2C;;20,5;345;HAM;;;ada;;
2021;SURAT DAKWAAN (TEKNIK PENYUSUNAN, FUNGSI DAN PERMASALAHANNYA);HARUN M. HUSEIN, S.H.;RINEKA CIPTA;Jakarta;1990;;;;1.-;xix, 216;2C;;20,5;345;HUS;B;10.000;ada;;
2022;SURAT DAKWAAN (TEKNIK PENYUSUNAN, FUNGSI DAN PERMASALAHANNYA);HARUN M. HUSEIN, S.H.;RINEKA CIPTA;Jakarta;2005;979-518-431-8;;;3.-;xix, 283;2C;;20,5;345;HUS;B;186.400;ada;;
2023;Surat Edaran Jaksa Agung R.I. No. : SE-002/A/J.A/08/2000 Tentang Kode Surat Menyurat Di Lingkungan Kejaksaan R.I. Dan No. : SE-005/A/J.A/05/2002 Tentang Penambahan Nomor Kode Surat Menyurat Di Lingkungan Kejaksaan R.I.;--;Biro Umum - Kejaksaan Agung R.I.;Jakarta;2005;;;;;;6F;2;;348;KEJ;S;;ada;;
2024;Surat Edaran Jaksa Agung R.I. NO. : SE-001/B/WJA/07/2001 Tentang Pedoman Pelaksanaan Kenaikan Pangkat Pegawai Negeri Sipil Di Lingkungan Kejaksaan R.I.;--;Kejaksaan R.I.;Jakarta;2001;;;;;;6F;2;;348;KEJ;S;;ada;;
2025;Surat Edaran Jaksa Agung R.I. No. : SE-001 Tahun 2019, No. : SE-002 Tahun 2019, Dan No. : SE-006 Tahun 2019;--;Kejaksaan R.I.;Jakarta;2019;;;;;;6J;;;348.02;KEJ;s;;ada;;
2026;Surat Edaran Jaksa Agung R.I. Tahun 2020 No. : SEJA-01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12, 13, 15, 16, 17, 18, Dan 19.;--;Kejaksaan Agung R.I.;Jakarta;2020;;;;;;6J;;;348;AGU;DL;;ada;;
2027;Survei Indeks Kepuasan Masyarakat (IKM) Terhadap Kinerja Bidang Intelijen Dan Bidang Pengawasan;Niniek Suparni, S.H., M.H. , Tumbur Sinaga, S.H. , et. al.;Miswar;Jakarta;2013;;;;;;6B;;;353.4;RNI;s;;ada;;
2028;Survei Indeks Kepuasan Masyarakat (IKM) Terhadap Kinerja Bidang Pembinaan;"Rr. Yoeniarti Sasongko, S.H. ; Lasmaida Limbong, S.H. ; dkk.";Kejaksaan Agung R.I.;Jakarta;2014;978-602-7744-62-2;;;;62;6A;;21;651;SAS;s;;ada;;
2029;Survei Kepuasan Masyarakat Terhadap Pelayanan Tilang Di Kejaksaan RI;"Rr. Yoeniarti Sasongko, S.H. ; Amelya Gustina, S.H., M.H. ; Wahyu Kartika, S.Si. ; Muhammad Iqbal, S.H., M.H., dkk.";Miswar;Jakarta;2017;978-602-6532-31-2;;;;;6B;;;340.1;SAS;s;;ada;;
2030;Survei Kepuasan Masyarakat Terhadap Penanganan Perkara Oleh Kejaksaan RI;"Tatik Sunatri ; Wahyu Kartika ; Amelya Gustina ; Irfan Fachrurozi ; Ines Rachmawati ; Sri Humana";Miswar;Jakarta;2017;978-602-6532-23-7;;;;;6B;;;347.014;SUN;s;;ada;;
2031;SUSUNAN DALAM SATU NASKAH DARI KEPUTUSAN MENDAGRI/KETUA LPU NO. 23 TAHUN 1996 TENTANG PELAKSANAAN TUGAS PANITIA PENGAWAS PELAKSANAAN PEMILU SEBAGAIMANA TELAH DIUBAH DENGAN KEPUTUSAN MENDAGRI/KETUA LPU NO. 11 TH. 1997;--;LEMBAGA PEMILIHAN UMUM;Jakarta;1997;;;;;;5E;;;;;;;ada;;
2032;SUSUNAN DALAM SATU NASKAH DARI UNDANG-UNDANG NO. 3 TH. 1975 TENTANG PARTAI POLITIK DAN GOLONGAN KARYA SEBAGAIMANA TELAH DIUBAH DENGAN UNDANG-UNDANG NO. 3 TH. 1985;--;SEKRETARIAT NEGARA R.I.;Jakarta;1985;;;;;;4H;;;;;;;ada;;
2033;SUSUNAN DALAM SATU NASKAH DARI UNDANG-UNDANG NO. 16 TH. 1969 TENTANG SUSUNAN DAN KEDUDUKAN MPR, DPR, DAN DPRD SEBAGAIMANA TELAH DIUBAH PERTAMA DENGAN U.U. NO. 5 TH. 1975 DAN KEDUA DENGAN U.U. NO. 2 TH. 1985;--;SEKRETARIAT NEGARA R.I.;Jakarta;1985;;;;;;4H;;;;;;;ada;;
2034;Susunan Dalam Satu Naskah Undang-Undang Perpajakan;--;Direktorat Jenderal Pajak;Jakarta;2011;;;;;;5F;;;348.026;HUM;S;;ada;;
2035;HURUF T;;;;;;;;;;;;;;;;;ada;;
2036;3 UNDANG-UNDANG BIDANG HUKUM DAN SOSIAL BUDAYA // KESEHATAN - PSIKOTROPIKA - NARKOTIKA;--;CV. EKO JAYA;Jakarta;2004;;;;;;4C;;;;;;;ada;;
2037;30 DESAIN KOLAM HIAS;"SOEGIANTO ; N.S. BUDIANA";PENEBAR SWADAYA;Jakarta;2007;;;;;;10A;;;;;;;ada;;
2038;30 JENIS HEWAN PENAKLUK PENYAKIT // SERI AGRISEHAT;SRI HARYANTO S.N., B.A.;PENEBAR SWADAYA;Jakarta;2005;;;;;;10D;;;;;;;ada;;
2039;40 Tahun Pendakian Puncak Kinabalu Menuju Utara Borneo | Meniti Perjalanan Tri Matra Dr. Yon Artiono Arba'i, TMS-7;Ed : Nyuwan Susila Budiana, S.Pi.;Raih Asa Sukses;Jakarta;2011;;;;;;10B;;;920;SUS;S;;Ada;;
2040;TAMANGGONG NIKODEMUS AMBO DJAJA NEGARA // MENYUSURI SEJARAH SUNYI SEORANG TEMENGGUNG DAYAK;MARKO MAHIN;LEMBAGA STUDI DAYAK-21;Banjarmasin;2005;;;;;;7C;;;;;;;;;
2041;TAMAN MINI // GAMBAR PERSPEKTIF, SKETSA & KOMPONENNYA;SUHARSO A.S.P;PENERBIT KANISIUS;Yogyakarta;2004;;;;;;10A;;;;;;;;;
2042;TAMAN // PANDUAN PRAKTIS MEMILIKI TAMAN IDAMAN;DON WS , THREES EMIR , CHERRY HADIBROTO;PT. GRAMEDIA PUSTAKA UTAMA;Jakarta;2004;;;;;;10A;;;;;;;;;
2043;TAMAN RUMAH TINGGAL;BAMBANG SULISTYANTARA;PENEBAR SWADAYA;Jakarta;2005;;;;;;10A;;;;;;;;;
2044;TANAMAN LALAP BERKHASIAT OBAT // SERI AGRISEHAT;DANIEL MANGOTING , IMANG IRAWAN , SAID ABDULLAH;PENEBAR SWADAYA;Jakarta;2005;;;;;;10D;;;641.1;MAN;;;;;
2045;TANGGUNG JAWAB HUKUM DAN SANKSI BAGI DOKTER // BUKU I;dr. Hj. ANNY INSFANDYARIE, Sp.An., S.H.;PRESTASI PUSTAKA;Jakarta;2006;;;;;;7G;2;;;;;;;;
2046;TANGGUNG JAWAB PEMEGANG SAHAM, DIREKSI & KOMISARIS PERSEROAN TERBATAS (PT);FRANS SATRIO WICAKSONO;VISIMEDIA;Jakarta;2009;979-065-044-2;;;1.-;viii, 240;3E;;23;338.7;WIC;S;;ADA;;
2047;TANGGUNG JAWAB SEORANG ATASAN TERHADAP BAWAHAN YANG MELAKUKAN PELANGGARAN HAM BERAT DAN PENERAPANNYA OLEH PENGADILAN PIDANA INTERNASIONAL DAN PENGADILAN HAK AZASI MANUSIA INDONESIA;Dr. H. EDDY DJUNAEDI KARNASUDIRDJA, S.H., MCJ.;PT. TATANUSA;Jakarta;2006;;;;;;7C;2;;;;;;;;
2048;TANGGKAL TERORISME DAN SOFT APPROACH;Dr. Drs. Edi Saputra Hasibun, S.H., M.H.;PT. Rajagrafindo Persada;Depok;2023;978-623-372-853-9;;1;1;xiv, 198;6F;;;363.3;HAS;B;;ADA;;
2049;TANYA JAWAB HUKUM AGRARIA & PERTANAHAN;Prof. Dr. A.P. PARLINDUNGAN, S.H.;CV. MANDAR MAJU;Bandung;2003;979-538-092-3;;;3.-;x, 242;3E;;20,5;346.43;PAR;S;;ADA;;
2050;TASAWUF SOSIAL;Prof. Dr. H.M. AMIN SYUKUR, MA.;PUSTAKA PELAJAR;Yogyakarta;2004;;;;;;7A;;;;;;;;;
2051;TATA CARA MENDIRIKAN KOPERASI;J.B. ISMARTONO, S.H.;DEPARTEMEN KOPERASI;Jakarta;1987;;;;10.-;44;1B;;21;334;ISM;;;ADA;;
2052;TATA CARA MENGHADAPI GUGATAN;BADRIYAH HARUN, S.H.;PUSTAKA YUSTISIA;Yogyakarta;2010;978-979-341-020-3;;;2.-;128;2C;;21;340;HAR;;;ADA;;
2053;TATA CARA PENGADAAN BARANG & JASA DENGAN PENUNJUKAN LANGSUNG;;KLOANG KLEDE JAYA;Jakarta;1988;;;;;;7E;;;;;;;;;
2054;TATA KEHIDUPAN BERNEGARA // BERDASARKAN LIMA UNDANG-UNDANG BIDANG KENEGARAAN, POLITIK DAN KEMASYARAKATAN;Drs. C.S.T. KANSIL, S.H.;PT. PRADNYA PARAMITA;Jakarta;1986;;;;;;6E;;;;;;;;;
2055;TATA LAUTAN NUSANTARA DALAM HUKUM DAN SEJARAHNYA;ST. MUNADJAT DANUSPURA;BINACIPTA;Bandung;1980;;;;;;7F;;;;;;;;;
2056;TEGAKKAN HUKUM GUNAKAN HUKUM;TB. RONNY RAHMAN NITIBASKARA;PENERBIT BUKU KOMPAS;Jakarta;2007;;;;;;6C;;;345;NIT;;;;;
2057;TEH & KHASIATNYA BAGI KESEHATAN // SEBUAH TINJAUAN ILMIAH;Ir. ARIF HARTOYO, M.S.;PENERBIT KANISIUS;Yogyakarta;2005;;;;;;10D;;;641.1;HAR;;;;;
2058;TEKNIK BUDI DAYA TERUNG;Ir. BAMBANG CAHYONO;YAYASAN PUSTAKA NUSATAMA;Yogyakarta;2003;;;;;;10E;;;;;;;;;
2059;TEKNIK MEMBUAT UNDANG-UNDANG;IRAWAN SOEJITO;PT. PRADNYA PARAMITA;Jakarta;1988;;;;;;7G;;;;;;;;;
2060;TEKNIK MERENCAKAN LABA;DOUGLAS GARBUTT;ERLANGGA;Jakarta;1979;;;rev.,;2.-;104;3E;;20,5;658.1;GAR;S;;ADA;;
2061;TEKNIK PENUNTUTAN DAN UPAYA HUKUM;OSMAN SIMANJUNTAK, S.H.;KEJAKSAAN AGUNG R.I.;Jakarta;1994;;;;;v, 238;2C;2;20,5;345;SIM;;;ADA;;
2062;TEKNIK PENYUSUNAN PERATURAN PERUNDANG-UNDANGAN BERDASARKAN UNDANG-UNDANG PEMBENTUKAN PERATURAN PERUNDANG-UNDANGAN // Termasuk Peraturan Perundang-undangan dengan Menggunakan Metode Omnibus;Prof. Dr. Wicipto Setiadi, S.H., M.H.;Rajawali Pers;Depok;2024;978-623-08-0871-5;;;1;x, 186;4A;;;348.02;SE;B;;ADA;;
2063;TEKNIK PRAKTIK ADVOKAT;ROPAUN RAMBE;PT. GRASINDO;Jakarta;2003;978-979-6952-04-5;;;2.-;xv, 213;3A;2;21;347.1;RAM;B;;;;
2064;TEMPUYUNG // BUDI DAYA & PEMENFAATAN UNTUK OBAT;JAKA SULAKSANA, S.P., M.Si. , BUDHI SANTOSO , DADANG ISKANDAR JAYUSMAN, S.Tp.;PENEBAR SWADAYA;Jakarta;2004;;;;;;10E;;;;;;;;;
2065;TEORI & HUKUM PEMBUKTIAN;EDDY O.S. HIARIEJ;ERLANGGA;Jakarta;2012;;;;;;6C;;;345.06;HIA;;;ada;;
2066;TEORI DAN KAPITA SELEKTA KRIMINOLOGI;ROMLI ATMASASMITA, S.H., LL.M.;PT. ERESCO;Bandung;1992;;;;;;5B;;;;;;;ada;;
2067;TEORI ETIKA TENTANG HUKUMAN LEGAL;YONG OHOITIMUR, MSC.;PT. GRAMEDIA PUSTAKA UTAMA;Jakarta;1997;979-605-569-4;;;1.-;vi, 120;2C;;21;345.077;OHO;;;ada;;
2068;Teori Konstitusi // Sejarah, Teori, Dan Perubahan Konstitusi ;Dr. Taufiqurohman Syahuri, S.H., M.H.;PT. Rajagrafindo Persada;Depok;2023;978-623-372-884-3;;1;1;xi, 178;5D;;;342;SYA;B;;ada;;
2069;TEORI PERUNDANG-UNDANGAN (PRINSIP-PRINSIP LEGISLASI, HUKUM PERDATA DAN HUKUM PIDANA);JEREMY BENTHAM;NUANSA;Bandung;2006;979-24-5605-8;;;1.-;540;2A;;24;340.1;BEN;;;ada;;
2070;TEORI POLITIK MODERN;S.P. VARMA;CV. RAJAWALI;Jakarta;1987;979-421-109-5;;;1.-;515;1B;;23;320.5;VAR;;;ada;;
2071;Teori-teori Dan Kebijakan Pidana;"Prof. Dr. Muladi, S.H., ; Prof. Dr. Barda Nawawi Arief, S.H.";PT. Alumni;Bandung;2010;;;;;;5B;;;340.1;MUL;S;;ada;;
2072;TEORI UMUM TENTANG HUKUM DAN NEGARA;HANS KELSEN;NUSA MEDIA;Bandung;2011;979-24-56023-6;;;7.-;xxviii, 656;3G;;24,5;340.1;KEL;;;ada;;
2073;TEORI YANG MURNI TENTANG HUKUM;Prof. Dr. SOERJONO SOEKANTO, S.H., M.A.;ALUMNI;Bandung;1985;;;;;;6E;;;;;;;ada;;
2074;TERMINOLOGI HUKUM PIDANA;Prof. Dr. jur. ANDI HAMZAH;Sinar Grafika;Jakarta;2009;978-979-007-068-4;;1.,;2.-;x, 176;2C;;21;345;HAM;;;ada;;
2075;TERTIB HUKUM DALAM MASYARAKAT TERASING;BRONISLAW MALINOWSKI, D.Sc.;ERLANGGA;Jakarta;1988;;;;;;6A;;;344;SOE;;;ada;;
2076;THE 7 HABITS OF HIGHLY EFFECTIVE PEOPLE (7 KEBIASAAN MANUSIA YANG SANGAT EFEKTIF);STEPHEN R. COVEY;BINARUPA AKSARA PUBLISHER;Tangerang;2010;;;;;;10B;;;;;;;ada;;
2077;The 7 Laws of Happiness / Tujuh Rahasia Hidup yang Bahagia;Arvan Pradiansyah;Kaifa;Bandung;2010;978-979-1284-47-9;;;2.-;;10B;;;613;PRA;;;ada;;
2078;TIANG AGAMA;BAZIS - PROP. KALTENG;KOTA KEMBANG;Yogyakarta;1989;;;;;;7A;;;;;;;ada;;
2079;TINDAK PIDANA DALAM UNDANG-UNDANG NASIONAL;Prof. Drs. C.S.T. KANSIL, S.H. - ENGELIEN R. PALANDENG, S.H., M.H. & ALTJE AGUSTIN MUSA, S.H., M.H.;JALA PERMATA AKSARA;Jakarta;2009;978-979-25-7376-3;;;1.-;189;2A;;21;345;KAN;S;;ADA;;
2080;TINDAK PIDANA DI BIDANG PERBANKAN;Brigjen Pol. Drs. H.A.K. MOCH. ANWAR, S.H.;ALUMNI;Bandung;1986;;;;;ix, 148;2E;;20,5;345;ANW;;;ADA;;
2081;TINDAK PIDANA KHUSUS;Drs. MUHAMMAD YAMIN, M.H.;CV. PUSTAKA SETIA;Bandung;2012;978-979-076-165-0;;;1.-;484;2D;;24;345;YAM;S;;ADA;;
2082;TINDAK PIDANA KORUPSI;EVI HARTANTI, S.H.;Sinar Grafika;Jakarta;2009;978-979-007-037-0;;2.,;3;xii, 178;2B;;23;351.9;HAR;S;;ADA;;
2083;TINDAK PIDANA KORUPSI;EVI HARTANTI, S.H.;Sinar Grafika;Jakarta;2012;978-979-007-037-0;;2.,;4.-;xii, 178;2B;;23;351.9;HAR;S;;ADA;;
2084;Tindak Pidana Korupsi dan Suap;--;Nuansa Aulia;Bandung;2008;978-602-8166-26-3;;;1;viii, 288;2B;;;348;TIM;;;ADA;;
2085;TINDAK PIDANA KORUPSI DALAM PENGADAAN BARANG/JASA PEMERINTAH;TIM PENYUSUN JAM INTELIJEN KEJAKSAAN R.I.;KEJAKSAAN AGUNG R.I.;Jakarta;2007;;;;;viii, 66;2B;;21;345;AGU;S;;ADA;;
2086;TINDAK PIDANA KORUPSI DI BIDANG PERKREDITAN;GATOT SUPRAMONO, S.H.;PT. ALUMNI;Bandung;1997;979-414-095-3;;1.,;1.-;viii, 278;2B;;20,5;345;SUP;S;;ADA;;
2087;TINDAK PIDANA KORUPSI DI INDONESIA (NORMATIF, TEORITIS, PRAKTIK DAN MASALAHNYA);Dr. LILIK MULYADI, S.H., M.H.;PT. ALUMNI;Bandung;2011;979-41-4026-0;;1.,;2.-;xvi, 420;2B;3;20,5;345;MUL;S;;ADA;;
2088;TINDAK PIDANA KORUPSI DIPANDANG DALAM BERBAGAI ASPEK;GUSE PRAYUDI, S.H.;PUSTAKA PENA;Yogyakarta;2010;979-16240-9-7;;;1.-;viii, 220;2B;2;20,5;351.9;PRA;S;;ADA;;
2089;TINDAK PIDANA KORUPSI PEMBERANTASAN DAN PENCEGAHAN;Dr. LEDEN MARPAUNG, S.H.;DJAMBATAN;Jakarta;2007;978-979-428-642-5;;rev.,;3.-;xi, 216;2B;1;21;345.023.23;MAR;B;;ADA;;
2090;TINDAK PIDANA KORUPSI PEMBERANTASAN DAN PENCEGAHAN;Dr. LEDEN MARPAUNG, S.H.;DJAMBATAN;Jakarta;2009;978-979-428-679-1;;rev.,;4.-;xi, 219;2B;2;21;345.023.23;MAR;S;;ada;;
2091;TINDAK PIDANA MAYANTARA // PERKEMBANGAN KAJIAN CYBER CRIME DI INDONESIA;Prof. Dr. BARDA NAWAWI ARIEF, S.H.;PT. Rajagrafindo Persada;Jakarta;2007;979-769-074-1;;1.,;;232;1D;2;21;345.026.8;ARI;;;ada;;
2092;TINDAK PIDANA MENGENAI KESOPANAN;Drs. H. ADAMI CHAZAWI, S.H.;PT. Rajagrafindo Persada;Jakarta;2005;979-3654-61-9;;1.,;1.-;xvi, 240;2C;;21;345;CHA;;;ada;;
2093;TINDAK PIDANA NARKOTIKA;MOH. TAUFIK MAKARAO, S.H., M.H. , Drs. SUHASRIL, S.H. , H. MOH. ZAKKY A.S., S.H.;GHALIA INDONESIA;Jakarta;2003;;;;;;7H;;;;;;;ada;;
2094;Tindak Pidana Pegawai Negeri Sipil;Victor M. Situmorang, S.H.;Rineka Cipta;Jakarta;1990;;;;1.-;;5B;2;;345;SIT;;;ada;;
2095;Tindak Pidana Pegawai Negeri Sipil;Victor M. Situmorang, S.H.;Rineka Cipta;Jakarta;1994;;;;2.-;;5B;2;;345;SIT;;;ada;;
2096;TINDAK PIDANA PEGAWAI NEGERI SIPIL DI INDONESIA;DJOKO PRAKOSO, S.H.;Sinar Grafika;Jakarta;1992;979-8061-31-4;;1.,;2.-;ix, 169;2C;;21;345;PRA;;;ada;;
2097;TINDAK PIDANA PEMILU;DJOKO PRAKOSO, S.H.;RAJAWALI PERS;Jakarta;1987;979-421-085-4;;1.-;1.-;viii, 352;2E;;21;345;PRA;B;6.250;ada;;
2098;TINDAK PIDANA PEMILU;TOPO SANTOSO, S.H., M.H.;Sinar Grafika;Jakarta;2006;979-3421-29-0;;;1.-;viii, 163;2C;;23;345;SAN;B;;ada;;
2099;TINDAK PIDANA PENERBANGAN DI INDONESIA;DJOKO PRAKOSO, S.H.;GHALIA INDONESIA;Jakarta;1984;;;;1.-;176;2C;;20,5;345;PRA;;;ada;;
2100;TINDAK PIDANA PERBANKAN;M. SHOLEHUDDIN, S.H., M.H.;PT. Rajagrafindo Persada;Jakarta;1997;979-421-682-8;;1.,;1.-;xii, 232;2E;6;21;345.026;SHO;;;ada;;
2101;Tindak Pidana // PERDAGANGAN ORANG;NOOR SIDHARTA;PT. Rajagrafindo Persada;Depok;2023;978-623-08-0310-9;;1;1;324;4D;;;345;SID;B;;ada;;
2102;Tindak Pidana Perpajakan;Bambang Waluyo, S.H.;PT. Pradnya Paramita;Jakarta;1994;;;;;;5F;;;364.133;WAL;;;ada;;
2103;TINDAK PIDANA PORNOGRAFI;Drs. H. ADAMI CHAZAWI, S.H.;CV. PUTRA MEDIA NUSANTARA;Surabaya;2009;978-602-95833-3-5;;;;288;2A;;22,5;345.03;CHA;S;;ada;;
